Date,Open,High,Low,Close
2015-08-03,6799.94,6827.23,6792.89,6799.65
2015-08-04,6742.34,6806.23,6725.43,6801.02
2015-08-05,6758.08,6771.42,6744.43,6756.79
2015-08-06,6746.65,6763.04,6738.44,6749.5
2015-08-07,6777.37,6826.42,6763.68,6788.84
2015-08-10,6791.64,6830.66,6777.7,6803.24
2015-08-11,6871.41,7126.1,6848.15,7123.61
2015-08-12,7097.54,7382.21,7055.97,7313.7
2015-08-13,7265.83,7309.1,7201.07,7222.33
2015-08-14,7195.63,7207.36,7155.59,7199.65
2015-08-17,7189.09,7211.05,7179.51,7195.89
2015-08-18,7200.84,7221.11,7192.78,7215.27
2015-08-19,7198.24,7240.78,7189.39,7231.72
2015-08-20,7316.23,7358.28,7308.41,7340.69
2015-08-21,7442.21,7537.74,7414.37,7426.22
2015-08-24,7499.9,7527.6,7453.68,7520.29
2015-08-25,7509.58,7515.11,7415.33,7449.83
2015-08-26,7448.89,7450.69,7351.12,7363.93
2015-08-27,7301.05,7317.79,7289.43,7305.88
2015-08-28,7302.17,7322.88,7276.41,7281.79
2015-08-31,7312.68,7325.45,7287.65,7306.57
2015-09-01,7311.8,7361.56,7311.74,7338.64
2015-09-02,7315.18,7375.74,7290.73,7356.28
2015-09-07,7231.7,7283.78,7219.4,7273.62
2015-09-08,7255.95,7275.61,7231.46,7240.84
2015-09-09,7249.21,7262.56,7242.55,7254.53
2015-09-10,7166.33,7173.93,7080.93,7095.45
2015-09-11,7099.29,7129.87,7092.39,7110.22
2015-09-14,7086.83,7108.08,7086.83,7090.71
2015-09-15,7104.59,7104.59,7073.66,7082.99
2015-09-16,7081.8,7108.36,7071.92,7102.29
2015-09-17,7174.88,7188.47,7161.77,7170.24
2015-09-18,7240.67,7280.9,7210.65,7269.53
2015-09-21,7269.39,7299.71,7261.35,7285.2
2015-09-22,7252.83,7277.27,7238.43,7247.13
2015-09-23,7216.11,7253.95,7208.28,7237.19
2015-09-24,7288.62,7313.95,7278.02,7297.31
2015-09-25,7381.45,7385.38,7301.48,7321.04
2015-09-28,7338.56,7345.63,7257.37,7264.92
2015-09-29,7205.68,7221.91,7134.92,7156.27
2015-09-30,7148.79,7160.4,7126.27,7136.65
2015-10-08,7270.27,7277.34,7243.74,7273.98
2015-10-09,7242.01,7330.48,7232.02,7326.25
2015-10-12,7327.16,7377.05,7323.17,7364.14
2015-10-13,7343.57,7359.69,7306.25,7330.6
2015-10-14,7406.7,7468.65,7399.13,7421.73
2015-10-15,7521.67,7531.12,7494.66,7525.11
2015-10-16,7505.48,7516.4,7476.67,7493.6
2015-10-19,7497.18,7499.05,7459.26,7474.26
2015-10-20,7472.74,7489.09,7446.56,7488.46
2015-10-21,7501.84,7508.24,7473.28,7486.01
2015-10-22,7425.78,7463.62,7415.42,7452.75
2015-10-23,7448.92,7504.42,7443.78,7487.5
2015-10-26,7441.07,7458.52,7432.13,7453.59
2015-10-27,7435.56,7458.95,7423.69,7456.37
2015-10-28,7459.72,7513.89,7452.11,7503.03
2015-10-29,7416.73,7426.41,7369.44,7389.88
2015-10-30,7278.06,7286.27,7250.04,7270.41
2015-11-02,7216.28,7254.98,7195.92,7223.92
2015-11-03,7204.2,7222.87,7195.21,7201.82
2015-11-04,7119.36,7133.84,7093.23,7109.68
2015-11-05,7049.4,7074.79,7048.1,7066.07
2015-11-06,7044.18,7073.14,7043.55,7068.59
2015-11-09,6965.7,7002.39,6963.66,6999.02
2015-11-10,6973.93,6994.6,6967.03,6986.09
2015-11-11,6965.41,6988.74,6960.75,6965.3
2015-11-12,6949.78,6963.17,6949.01,6959.7
2015-11-13,6941.45,6948.75,6912.81,6941.6
2015-11-16,6977.89,7026.28,6970.21,6984.97
2015-11-17,6933.71,6940.35,6894.72,6916.02
2015-11-18,6849.51,6884.65,6833.72,6870.21
2015-11-19,6887.81,6916.2,6880.44,6887.88
2015-11-20,6934.44,6979.05,6924.36,6967.02
2015-11-23,6904.53,6914.18,6869.26,6882.41
2015-11-24,6883.28,6912.25,6880.52,6908.91
2015-11-25,6920.12,6946.83,6891.6,6892.88
2015-11-26,6881.59,6908.69,6869.19,6895.26
2015-11-27,6905.68,6910.08,6872.66,6878.01
2015-11-30,6821.74,6830.37,6777.03,6789.91
2015-12-01,6848.71,6919.41,6837.72,6899.32
2015-12-02,6896.76,6897.87,6871.76,6877.76
2015-12-03,6796.01,6800.26,6749.73,6774.38
2015-12-04,6841.72,6847.48,6807.8,6845.16
2015-12-07,6992.09,7019.51,6983.55,7010.12
2015-12-08,6940,6977.48,6919.83,6976.14
2015-12-09,6984.94,7013.79,6977.47,7002.59
2015-12-10,6978.72,7016.93,6971.75,7012.38
2015-12-11,6959.54,6996.56,6948.66,6981.29
2015-12-14,7026.7,7057.69,6979.56,7003.27
2015-12-15,6969.32,6985.14,6930.27,6946.58
2015-12-16,6944.6,6971,6938.39,6968.26
2015-12-17,6992.02,7008.89,6967.79,6995.29
2015-12-18,6919.5,6938.22,6899.38,6925.18
2015-12-21,6976.98,7036.19,6970.4,7026.57
2015-12-22,7066.99,7071.92,7042.56,7051.82
2015-12-23,7012.99,7030.91,6998.32,7016.26
2015-12-24,7016.42,7030.6,7008.03,7030.53
2015-12-28,7039.52,7039.98,7009.62,7030.75
2015-12-29,7012.47,7065.92,7009.43,7049.54
2015-12-30,7032.24,7073.83,7007.5,7027.67
2015-12-31,6972.54,7011.76,6972.54,6983.59
2016-01-04,7012.35,7117.98,7001.22,7116.83
2016-01-05,7132.13,7179.22,7132.01,7172.95
2016-01-06,7160.9,7294.95,7137.43,7290.68
2016-01-07,7332.79,7383.89,7310.02,7337.15
2016-01-08,7410.82,7410.82,7328.82,7330.45
2016-01-11,7424.17,7426.18,7278.18,7280.2
2016-01-12,7230.92,7252.2,7199.18,7208.57
2016-01-13,7144.67,7152.28,7101.64,7106.99
2016-01-14,7199.59,7243.19,7186.57,7226.23
2016-01-15,7110.97,7184.8,7110.65,7170.55
2016-01-18,7185.58,7203.24,7171.46,7200.23
2016-01-19,7179.36,7223.55,7156.67,7184.44
2016-01-20,7186.67,7249.01,7180.52,7222.68
2016-01-21,7256.76,7305.56,7245.22,7250.9
2016-01-22,7264.15,7283.55,7235.93,7246.41
2016-01-25,7258.82,7311.17,7257.8,7307.31
2016-01-26,7328.1,7389.01,7327.19,7363.8
2016-01-27,7409.92,7422.57,7383.29,7400.45
2016-01-28,7429.11,7434.84,7388.4,7394.69
2016-01-29,7376.31,7403.99,7347.31,7367.51
2016-02-01,7381.76,7425.03,7379.38,7414.18
2016-02-02,7474.97,7475.3,7443.48,7456.39
2016-02-03,7466.7,7504.01,7462.01,7495.99
2016-02-04,7545.97,7586.92,7539.18,7572.53
2016-02-05,7577.74,7621.8,7576.81,7615.1
2016-02-15,8028.77,8029.7,7849.02,7864.63
2016-02-16,7855.1,7892.1,7762.19,7892.1
2016-02-17,7816.26,7914.09,7806.22,7845.58
2016-02-18,7886.28,7895.84,7862.79,7871.95
2016-02-19,8025.63,8042.95,7965.72,7970.41
2016-02-22,7985.79,8002.85,7867.61,7869.57
2016-02-23,7887.92,7991.21,7885.77,7963.56
2016-02-24,8040.52,8045.71,7988.27,8045.28
2016-02-25,8022.37,8128.51,8017.83,8092.01
2016-02-26,8076.42,8107.97,8033.48,8062.87
2016-02-29,8008.19,8085.22,7994.55,8077.97
2016-03-01,8131,8172.65,8100.04,8127.42
2016-03-02,8064.68,8070.67,8026.84,8069.11
2016-03-03,8112.07,8143.98,8098.91,8131.36
2016-03-04,8222.36,8309.33,8198.83,8285.61
2016-03-07,8223.12,8268.62,8181.04,8262.43
2016-03-08,8265.57,8308.75,8237.8,8296.6
2016-03-09,8228.21,8241.03,8157.71,8194.61
2016-03-10,8167.14,8176.46,8115.59,8144.21
2016-03-11,8268,8345.75,8205.5,8214.41
2016-03-14,8128.18,8190.57,8123.33,8184.61
2016-03-15,8035.55,8043.03,7968.94,8019.28
2016-03-16,8034.21,8055.77,8011.35,8042.33
2016-03-17,8168.88,8233.75,8145.03,8212.94
2016-03-18,8135.35,8193.05,8117.63,8126.82
2016-03-21,8107.03,8128.5,8043.76,8067.86
2016-03-22,8067.79,8177.22,8067.79,8130.45
2016-03-23,8110.4,8115.01,8004.8,8027.79
2016-03-24,7953.25,7961.4,7904.59,7942.4
2016-03-28,7924.29,7953.14,7890.1,7934.63
2016-03-29,7967.26,7968.76,7922.26,7940.31
2016-03-30,8051.88,8067.52,8016.49,8021.04
2016-03-31,7951.61,7996.25,7933.48,7984.59
2016-04-01,7965.54,7994.64,7958.37,7970.09
2016-04-05,7871.85,8003.81,7869.72,7982.69
2016-04-06,7981.13,7990.92,7943.27,7950.09
2016-04-07,7936.09,8038.21,7929.77,8019.69
2016-04-08,8037.24,8039.46,7993.65,7996
2016-04-11,8069.5,8124.92,8065.68,8096.58
2016-04-12,8138.95,8169.07,8115.96,8144.93
2016-04-13,8126.25,8138.65,8067.35,8072.86
2016-04-14,8054.64,8086.29,7991.43,8050.69
2016-04-15,7981.94,7995.87,7959.98,7973.86
2016-04-18,8028.73,8047.3,7986.34,8047.17
2016-04-19,7975.42,8072.69,7959.36,8047.66
2016-04-20,8093.99,8142.1,8067.86,8085.86
2016-04-21,8076.72,8177.38,8064.09,8169.85
2016-04-22,8104.12,8127.45,8072.65,8105.41
2016-04-25,8016.56,8058.42,8009.49,8018.6
2016-04-26,8052.26,8068.5,8022.74,8031.63
2016-04-27,8087.8,8114.91,8081.81,8106.66
2016-04-28,8106.85,8166.14,8065.41,8158.97
2016-04-29,8210.63,8304.15,8204.14,8284.13
2016-05-03,8357.52,8438.03,8357.33,8396.3
2016-05-04,8367.21,8374.2,8308.17,8314.3
2016-05-05,8361.08,8361.36,8304.29,8323.37
2016-05-06,8329.78,8350.56,8314.58,8343.45
2016-05-09,8378.38,8387.11,8317.75,8331.59
2016-05-10,8257.81,8293.61,8241.68,8285.47
2016-05-11,8270.57,8330.28,8269.92,8318.82
