as_of,open_interest,spec_long,spec_short,net_spec
2022-12-27,440040,229525,92645,136880
2023-01-03,449393,230801,89135,141666
2023-01-10,481519,243566,93031,150535
2023-01-17,491818,246874,93634,153240
2023-01-24,499927,253311,95638,157673
2023-01-31,471642,256417,96136,160281
2023-02-07,439755,223298,94483,128815
2023-02-14,426116,210374,104845,105529
2023-02-21,422648,210185,103084,107101
2023-02-28,426890,208419,99826,108593
2023-03-07,458474,215574,117100,98474
2023-03-14,459064,230823,90492,140331
2023-03-21,469874,237891,79286,158605
2023-03-28,478611,245135,63505,181630
2023-04-04,476592,266164,70948,195216
2023-04-11,476567,260165,67420,192745
2023-04-18,482254,260061,70168,189893
2023-04-25,473209,253186,67922,185264
2023-05-02,493804,262413,66846,195567
2023-05-09,518951,266472,70658,195814
2023-05-16,521832,255250,75436,179814
2023-05-23,479080,236149,75417,160732
2023-05-30,449515,237306,67990,169316
2023-06-06,436301,237467,61826,175641
2023-06-13,432898,227317,67108,160209
2023-06-20,438037,229308,66333,162975
2023-06-27,431861,220881,68971,151910
2023-07-03,448063,235081,71984,163097
2023-07-11,483170,240546,74792,165754
2023-07-18,482104,263740,70392,193348
2023-07-25,476176,248229,74590,173639
2023-08-01,439383,238985,74061,164924
2023-08-08,427759,228846,85861,142985
2023-08-15,433611,233078,111942,121136
2023-08-22,430239,226340,124394,101946
2023-08-29,442806,236054,112782,123272
2023-09-05,438672,235802,97796,138006
2023-09-12,441221,235704,111840,123864
2023-09-19,438078,237716,102553,135163
2023-09-26,435620,235560,119745,115815
2023-10-03,431226,228406,137180,91226
2023-10-10,436499,220332,148899,71433
2023-10-17,439581,231412,118674,112738
2023-10-24,463476,251469,102084,149385
2023-10-31,475808,261053,97628,163425
2023-11-07,484347,261653,95437,166216
2023-11-14,486634,254352,98976,155376
2023-11-21,508429,269701,97996,171705
2023-11-28,505658,289845,89761,200084
2023-12-05,487469,288840,85296,203544
2023-12-12,469939,273536,85303,188233
2023-12-19,481203,280972,79633,201339
2023-12-26,491343,289843,82125,207718
2024-01-02,500364,290706,83057,207649
2024-01-09,489849,271665,83051,188614
2024-01-16,489334,262360,82467,179893
2024-01-23,465872,241100,71626,169474
2024-01-30,430328,219222,71431,147791
2024-02-06,419121,228623,66885,161738
2024-02-13,420812,217505,86337,131168
2024-02-20,407063,211034,70772,140262
2024-02-27,411195,214948,73312,141636
2024-03-05,471616,264148,72855,191293
2024-03-12,516057,283062,81460,201602
2024-03-19,535047,278732,77130,201602
2024-03-26,503642,265647,66353,199294
2024-04-02,500045,281399,74149,207250
2024-04-09,505214,279799,77380,202419
2024-04-16,517193,278777,76854,201923
2024-04-23,516249,279535,76644,202891
2024-04-30,519791,278850,74640,204210
2024-05-07,529835,272144,72577,199567
2024-05-14,522952,277642,73146,204496
2024-05-21,530591,300729,70923,229806
2024-05-28,485430,286737,50152,236585
2024-06-04,447488,284566,47264,237302
2024-06-11,436857,276769,42843,233926
